InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,category
536408,21479,"WHITE SKULL HOT WATER BOTTLE ",4,"12/1/2010 11:41",3.75,14307,"United Kingdom","Medication & Remedies"
536408,22465,"HANGING METAL STAR LANTERN",12,"12/1/2010 11:41",1.65,14307,"United Kingdom","Christmas Decorations"
536409,21479,"WHITE SKULL HOT WATER BOTTLE ",1,"12/1/2010 11:45",3.75,17908,"United Kingdom","Medication & Remedies"
536409,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12/1/2010 11:45",4.95,17908,"United Kingdom","Medication & Remedies"
536409,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12/1/2010 11:45",4.95,17908,"United Kingdom","Medication & Remedies"
536409,22112,"CHOCOLATE HOT WATER BOTTLE",1,"12/1/2010 11:45",4.95,17908,"United Kingdom","Medication & Remedies"
536412,22837,"HOT WATER BOTTLE BABUSHKA ",3,"12/1/2010 11:49",4.65,17920,"United Kingdom","Medication & Remedies"
536415,84032B,"CHARLIE + LOLA RED HOT WATER BOTTLE",3,"12/1/2010 11:57",2.95,12838,"United Kingdom","Medication & Remedies"
536415,22837,"HOT WATER BOTTLE BABUSHKA ",3,"12/1/2010 11:57",4.65,12838,"United Kingdom","Medication & Remedies"
536420,22113,"GREY HEART HOT WATER BOTTLE",4,"12/1/2010 12:03",3.75,16583,"United Kingdom","Medication & Remedies"
536420,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/1/2010 12:03",4.95,16583,"United Kingdom","Medication & Remedies"
536420,22110,"BIRD HOUSE HOT WATER BOTTLE",6,"12/1/2010 12:03",2.55,16583,"United Kingdom","Medication & Remedies"
536423,21481,"FAWN BLUE HOT WATER BOTTLE",6,"12/1/2010 12:08",2.95,18085,"United Kingdom","Medication & Remedies"
536423,22837,"HOT WATER BOTTLE BABUSHKA ",8,"12/1/2010 12:08",4.65,18085,"United Kingdom","Medication & Remedies"
536423,21479,"WHITE SKULL HOT WATER BOTTLE ",8,"12/1/2010 12:08",3.75,18085,"United Kingdom","Medication & Remedies"
536423,21485,"RETROSPOT HEART HOT WATER BOTTLE",8,"12/1/2010 12:08",4.95,18085,"United Kingdom","Medication & Remedies"
536423,22111,"SCOTTIE DOG HOT WATER BOTTLE",16,"12/1/2010 12:08",4.95,18085,"United Kingdom","Medication & Remedies"
536423,22113,"GREY HEART HOT WATER BOTTLE",8,"12/1/2010 12:08",3.75,18085,"United Kingdom","Medication & Remedies"
536425,22837,"HOT WATER BOTTLE BABUSHKA ",8,"12/1/2010 12:08",4.65,13758,"United Kingdom","Medication & Remedies"
536425,22585,"PACK OF 6 BIRDY GIFT TAGS",12,"12/1/2010 12:08",1.25,13758,"United Kingdom",Gifts
536460,21485,"RETROSPOT HEART HOT WATER BOTTLE",6,"12/1/2010 12:22",4.95,14849,"United Kingdom","Medication & Remedies"
536460,21484,"CHICK GREY HOT WATER BOTTLE",8,"12/1/2010 12:22",3.45,14849,"United Kingdom","Medication & Remedies"
536464,22582,"PACK OF 6 SWEETIE GIFT BOXES",1,"12/1/2010 12:23",2.55,17968,"United Kingdom",Gifts
536464,22585,"PACK OF 6 BIRDY GIFT TAGS",3,"12/1/2010 12:23",1.25,17968,"United Kingdom",Gifts
536500,22113,"GREY HEART HOT WATER BOTTLE",3,"12/1/2010 12:35",3.75,17377,"United Kingdom","Medication & Remedies"
536500,21488,"RED WHITE SCARF  HOT WATER BOTTLE",2,"12/1/2010 12:35",3.95,17377,"United Kingdom","Medication & Remedies"
536502,22784,"LANTERN CREAM GAZEBO ",3,"12/1/2010 12:36",4.95,16552,"United Kingdom","Christmas Decorations"
536520,21292,"SMALL STRIPES CHOCOLATE GIFT BAG ",16,"12/1/2010 12:43",0.85,14729,"United Kingdom",Gifts
536520,21486,"PINK HEART DOTS HOT WATER BOTTLE",1,"12/1/2010 12:43",3.75,14729,"United Kingdom","Medication & Remedies"
536520,22582,"PACK OF 6 SWEETIE GIFT BOXES",2,"12/1/2010 12:43",2.55,14729,"United Kingdom",Gifts
536520,22583,"PACK OF 6 HANDBAG GIFT BOXES",3,"12/1/2010 12:43",2.55,14729,"United Kingdom",Gifts
536520,22583,"PACK OF 6 HANDBAG GIFT BOXES",1,"12/1/2010 12:43",2.55,14729,"United Kingdom",Gifts
536523,21485,"RETROSPOT HEART HOT WATER BOTTLE",3,"12/1/2010 12:50",4.95,12868,"United Kingdom","Medication & Remedies"
536523,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/1/2010 12:50",4.95,12868,"United Kingdom","Medication & Remedies"
536525,21324,"HANGING MEDINA LANTERN SMALL",2,"12/1/2010 12:54",2.95,14078,"United Kingdom","Christmas Decorations"
536526,22113,"GREY HEART HOT WATER BOTTLE",8,"12/1/2010 12:58",3.75,14001,"United Kingdom","Medication & Remedies"
536527,22837,"HOT WATER BOTTLE BABUSHKA ",4,"12/1/2010 13:04",4.65,12662,"Germany","Medication & Remedies"
536528,22585,"PACK OF 6 BIRDY GIFT TAGS",6,"12/1/2010 13:17",1.25,15525,"United Kingdom",Gifts
536528,22584,"PACK OF 6 PANNETONE GIFT BOXES",2,"12/1/2010 13:17",2.55,15525,"United Kingdom",Gifts
536528,22584,"PACK OF 6 PANNETONE GIFT BOXES",2,"12/1/2010 13:17",2.55,15525,"United Kingdom",Gifts
536528,22585,"PACK OF 6 BIRDY GIFT TAGS",5,"12/1/2010 13:17",1.25,15525,"United Kingdom",Gifts
536530,21657,"MILK BOTTLE WITH GLASS STOPPER ",1,"12/1/2010 13:21",6.95,17905,"United Kingdom","Medication & Remedies"
536532,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",8,"12/1/2010 13:24",3.95,12433,"Norway","Medication & Remedies"
536534,22112,"CHOCOLATE HOT WATER BOTTLE",3,"12/1/2010 13:33",4.95,15350,"United Kingdom","Medication & Remedies"
536535,21485,"RETROSPOT HEART HOT WATER BOTTLE",3,"12/1/2010 13:38",4.95,15605,"United Kingdom","Medication & Remedies"
536536,21485,"RETROSPOT HEART HOT WATER BOTTLE",3,"12/1/2010 13:45",4.95,18144,"United Kingdom","Medication & Remedies"
536538,22584,"PACK OF 6 PANNETONE GIFT BOXES",2,"12/1/2010 13:54",2.55,14594,"United Kingdom",Gifts
536538,22583,"PACK OF 6 HANDBAG GIFT BOXES",2,"12/1/2010 13:54",2.55,14594,"United Kingdom",Gifts
536539,84030E,"ENGLISH ROSE HOT WATER BOTTLE",4,"12/1/2010 14:03",4.25,15165,"United Kingdom","Medication & Remedies"
536539,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/1/2010 14:03",3.95,15165,"United Kingdom","Medication & Remedies"
536539,21481,"FAWN BLUE HOT WATER BOTTLE",6,"12/1/2010 14:03",2.95,15165,"United Kingdom","Medication & Remedies"
536544,21773,"DECORATIVE ROSE BATHROOM BOTTLE",1,"12/1/2010 14:32",2.51,,"United Kingdom","Medication & Remedies"
536544,21774,"DECORATIVE CATS BATHROOM BOTTLE",2,"12/1/2010 14:32",2.51,,"United Kingdom","Medication & Remedies"
536544,21851,"LILAC DIAMANTE PEN IN GIFT BOX",1,"12/1/2010 14:32",4.21,,"United Kingdom",Gifts
536544,21879,"HEARTS GIFT TAPE",1,"12/1/2010 14:32",1.66,,"United Kingdom",Gifts
536544,21884,"CAKES AND BOWS GIFT  TAPE",1,"12/1/2010 14:32",1.66,,"United Kingdom",Gifts
536544,22110,"BIRD HOUSE HOT WATER BOTTLE",2,"12/1/2010 14:32",7.62,,"United Kingdom","Medication & Remedies"
536544,22111,"SCOTTIE DOG HOT WATER BOTTLE",2,"12/1/2010 14:32",11.02,,"United Kingdom","Medication & Remedies"
536544,22112,"CHOCOLATE HOT WATER BOTTLE",2,"12/1/2010 14:32",11.02,,"United Kingdom","Medication & Remedies"
536544,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",3,"12/1/2010 14:32",8.47,,"United Kingdom","Medication & Remedies"
536544,22224,"WHITE LOVEBIRD LANTERN",1,"12/1/2010 14:32",5.91,,"United Kingdom","Christmas Decorations"
536544,22582,"PACK OF 6 SWEETIE GIFT BOXES",1,"12/1/2010 14:32",5.06,,"United Kingdom",Gifts
536544,22583,"PACK OF 6 HANDBAG GIFT BOXES",1,"12/1/2010 14:32",5.06,,"United Kingdom",Gifts
536544,22835,"HOT WATER BOTTLE I AM SO POORLY",4,"12/1/2010 14:32",9.32,,"United Kingdom","Medication & Remedies"
536544,22837,"HOT WATER BOTTLE BABUSHKA ",1,"12/1/2010 14:32",9.32,,"United Kingdom","Medication & Remedies"
536544,71053,"WHITE METAL LANTERN",1,"12/1/2010 14:32",8.47,,"United Kingdom","Christmas Decorations"
536544,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",1,"12/1/2010 14:32",7.62,,"United Kingdom","Medication & Remedies"
536544,84031A,"CHARLIE+LOLA RED HOT WATER BOTTLE ",4,"12/1/2010 14:32",4.21,,"United Kingdom","Medication & Remedies"
536544,84031B,"CHARLIE LOLA BLUE HOT WATER BOTTLE ",1,"12/1/2010 14:32",4.21,,"United Kingdom","Medication & Remedies"
536544,84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",8,"12/1/2010 14:32",3.36,,"United Kingdom","Medication & Remedies"
536544,84032B,"CHARLIE + LOLA RED HOT WATER BOTTLE",4,"12/1/2010 14:32",3.36,,"United Kingdom","Medication & Remedies"
536544,85032D,"YULETIDE IMAGES GIFT WRAP SET",2,"12/1/2010 14:32",1.66,,"United Kingdom",Gifts
536544,21479,"WHITE SKULL HOT WATER BOTTLE ",5,"12/1/2010 14:32",7.62,,"United Kingdom","Medication & Remedies"
536544,21484,"CHICK GREY HOT WATER BOTTLE",4,"12/1/2010 14:32",7.62,,"United Kingdom","Medication & Remedies"
536544,21486,"PINK HEART DOTS HOT WATER BOTTLE",1,"12/1/2010 14:32",4.21,,"United Kingdom","Medication & Remedies"
536544,21488,"RED WHITE SCARF  HOT WATER BOTTLE",1,"12/1/2010 14:32",8.47,,"United Kingdom","Medication & Remedies"
536551,22835,"HOT WATER BOTTLE I AM SO POORLY",2,"12/1/2010 14:34",4.65,17346,"United Kingdom","Medication & Remedies"
536551,22837,"HOT WATER BOTTLE BABUSHKA ",2,"12/1/2010 14:34",4.65,17346,"United Kingdom","Medication & Remedies"
536551,22112,"CHOCOLATE HOT WATER BOTTLE",1,"12/1/2010 14:34",4.95,17346,"United Kingdom","Medication & Remedies"
536551,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12/1/2010 14:34",4.95,17346,"United Kingdom","Medication & Remedies"
536551,22112,"CHOCOLATE HOT WATER BOTTLE",1,"12/1/2010 14:34",4.95,17346,"United Kingdom","Medication & Remedies"
536557,21486,"PINK HEART DOTS HOT WATER BOTTLE",2,"12/1/2010 14:41",3.75,17841,"United Kingdom","Medication & Remedies"
536557,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",2,"12/1/2010 14:41",3.95,17841,"United Kingdom","Medication & Remedies"
536557,21485,"RETROSPOT HEART HOT WATER BOTTLE",1,"12/1/2010 14:41",4.95,17841,"United Kingdom","Medication & Remedies"
536557,21479,"WHITE SKULL HOT WATER BOTTLE ",5,"12/1/2010 14:41",3.75,17841,"United Kingdom","Medication & Remedies"
536557,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",2,"12/1/2010 14:41",3.75,17841,"United Kingdom","Medication & Remedies"
536557,22837,"HOT WATER BOTTLE BABUSHKA ",5,"12/1/2010 14:41",4.65,17841,"United Kingdom","Medication & Remedies"
536557,22112,"CHOCOLATE HOT WATER BOTTLE",2,"12/1/2010 14:41",4.95,17841,"United Kingdom","Medication & Remedies"
536557,22835,"HOT WATER BOTTLE I AM SO POORLY",1,"12/1/2010 14:41",4.65,17841,"United Kingdom","Medication & Remedies"
536557,21485,"RETROSPOT HEART HOT WATER BOTTLE",2,"12/1/2010 14:41",4.95,17841,"United Kingdom","Medication & Remedies"
536557,22111,"SCOTTIE DOG HOT WATER BOTTLE",7,"12/1/2010 14:41",4.95,17841,"United Kingdom","Medication & Remedies"
536557,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",1,"12/1/2010 14:41",3.95,17841,"United Kingdom","Medication & Remedies"
536568,22915,"ASSORTED BOTTLE TOP  MAGNETS ",12,"12/1/2010 15:28",0.42,16048,"United Kingdom","Medication & Remedies"
536569,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12/1/2010 15:35",4.95,16274,"United Kingdom","Medication & Remedies"
536569,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12/1/2010 15:35",4.95,16274,"United Kingdom","Medication & Remedies"
536569,22113,"GREY HEART HOT WATER BOTTLE",1,"12/1/2010 15:35",3.75,16274,"United Kingdom","Medication & Remedies"
536570,22113,"GREY HEART HOT WATER BOTTLE",36,"12/1/2010 15:35",3.39,14496,"United Kingdom","Medication & Remedies"
536570,22835,"HOT WATER BOTTLE I AM SO POORLY",24,"12/1/2010 15:35",4.25,14496,"United Kingdom","Medication & Remedies"
536571,85032D,"YULETIDE IMAGES GIFT WRAP SET",6,"12/1/2010 15:37",2.1,14696,"United Kingdom",Gifts
536571,84760S,"SMALL HANGING GLASS+ZINC LANTERN",12,"12/1/2010 15:37",1.45,14696,"United Kingdom","Christmas Decorations"
536578,22837,"HOT WATER BOTTLE BABUSHKA ",12,"12/1/2010 16:15",4.65,17690,"United Kingdom","Medication & Remedies"
536578,21484,"CHICK GREY HOT WATER BOTTLE",8,"12/1/2010 16:15",3.45,17690,"United Kingdom","Medication & Remedies"
536582,21479,"WHITE SKULL HOT WATER BOTTLE ",8,"12/1/2010 16:21",3.75,12947,"United Kingdom","Medication & Remedies"
536582,21481,"FAWN BLUE HOT WATER BOTTLE",6,"12/1/2010 16:21",2.95,12947,"United Kingdom","Medication & Remedies"
536582,84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",6,"12/1/2010 16:21",2.95,12947,"United Kingdom","Medication & Remedies"
536582,84031A,"CHARLIE+LOLA RED HOT WATER BOTTLE ",6,"12/1/2010 16:21",4.65,12947,"United Kingdom","Medication & Remedies"
536587,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/1/2010 16:33",3.95,14142,"United Kingdom","Medication & Remedies"
536590,22112,"CHOCOLATE HOT WATER BOTTLE",3,"12/1/2010 16:52",4.95,13065,"United Kingdom","Medication & Remedies"
536590,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/1/2010 16:52",3.95,13065,"United Kingdom","Medication & Remedies"
536591,21850,"BLUE  DIAMANTE PEN IN GIFT BOX",1,"12/1/2010 16:57",4.95,14606,"United Kingdom",Gifts
536591,21488,"RED WHITE SCARF  HOT WATER BOTTLE",1,"12/1/2010 16:58",3.95,14606,"United Kingdom","Medication & Remedies"
536591,21484,"CHICK GREY HOT WATER BOTTLE",2,"12/1/2010 16:58",3.45,14606,"United Kingdom","Medication & Remedies"
536592,16168M,"FUNKY MONKEY GIFT BAG MEDIUM",2,"12/1/2010 17:06",0.85,,"United Kingdom",Gifts
536592,21479,"WHITE SKULL HOT WATER BOTTLE ",8,"12/1/2010 17:06",7.62,,"United Kingdom","Medication & Remedies"
536592,21481,"FAWN BLUE HOT WATER BOTTLE",3,"12/1/2010 17:06",5.91,,"United Kingdom","Medication & Remedies"
536592,21484,"CHICK GREY HOT WATER BOTTLE",2,"12/1/2010 17:06",7.62,,"United Kingdom","Medication & Remedies"
536592,21486,"PINK HEART DOTS HOT WATER BOTTLE",7,"12/1/2010 17:06",4.21,,"United Kingdom","Medication & Remedies"
536592,21488,"RED WHITE SCARF  HOT WATER BOTTLE",1,"12/1/2010 17:06",8.47,,"United Kingdom","Medication & Remedies"
536592,21773,"DECORATIVE ROSE BATHROOM BOTTLE",3,"12/1/2010 17:06",2.51,,"United Kingdom","Medication & Remedies"
536592,21774,"DECORATIVE CATS BATHROOM BOTTLE",5,"12/1/2010 17:06",2.51,,"United Kingdom","Medication & Remedies"
536592,21775,"DECORATIVE FLORE BATHROOM BOTTLE",3,"12/1/2010 17:06",2.51,,"United Kingdom","Medication & Remedies"
536592,21846,"PINK DIAMANTE PEN IN GIFT BOX",4,"12/1/2010 17:06",4.21,,"United Kingdom",Gifts
536592,21851,"LILAC DIAMANTE PEN IN GIFT BOX",3,"12/1/2010 17:06",4.21,,"United Kingdom",Gifts
536592,21879,"HEARTS GIFT TAPE",1,"12/1/2010 17:06",1.66,,"United Kingdom",Gifts
536592,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/1/2010 17:06",11.02,,"United Kingdom","Medication & Remedies"
536592,22112,"CHOCOLATE HOT WATER BOTTLE",3,"12/1/2010 17:06",11.02,,"United Kingdom","Medication & Remedies"
536592,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",3,"12/1/2010 17:06",8.47,,"United Kingdom","Medication & Remedies"
536592,22582,"PACK OF 6 SWEETIE GIFT BOXES",2,"12/1/2010 17:06",5.06,,"United Kingdom",Gifts
536592,22583,"PACK OF 6 HANDBAG GIFT BOXES",1,"12/1/2010 17:06",5.06,,"United Kingdom",Gifts
536592,22584,"PACK OF 6 PANNETONE GIFT BOXES",1,"12/1/2010 17:06",5.06,,"United Kingdom",Gifts
536592,22835,"HOT WATER BOTTLE I AM SO POORLY",5,"12/1/2010 17:06",9.32,,"United Kingdom","Medication & Remedies"
536592,22837,"HOT WATER BOTTLE BABUSHKA ",3,"12/1/2010 17:06",9.32,,"United Kingdom","Medication & Remedies"
536592,22915,"ASSORTED BOTTLE TOP  MAGNETS ",1,"12/1/2010 17:06",5.06,,"United Kingdom","Medication & Remedies"
536592,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",2,"12/1/2010 17:06",7.62,,"United Kingdom","Medication & Remedies"
536592,84031B,"CHARLIE LOLA BLUE HOT WATER BOTTLE ",1,"12/1/2010 17:06",4.21,,"United Kingdom","Medication & Remedies"
536592,84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",8,"12/1/2010 17:06",3.36,,"United Kingdom","Medication & Remedies"
536592,84032B,"CHARLIE + LOLA RED HOT WATER BOTTLE",1,"12/1/2010 17:06",3.36,,"United Kingdom","Medication & Remedies"
536592,85032D,"YULETIDE IMAGES GIFT WRAP SET",4,"12/1/2010 17:06",1.66,,"United Kingdom",Gifts
536594,22113,"GREY HEART HOT WATER BOTTLE",4,"12/1/2010 17:22",3.75,15235,"United Kingdom","Medication & Remedies"
536596,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",1,"12/1/2010 17:29",3.95,,"United Kingdom","Medication & Remedies"
536597,22583,"PACK OF 6 HANDBAG GIFT BOXES",2,"12/1/2010 17:35",2.55,18011,"United Kingdom",Gifts
536600,71053,"WHITE METAL LANTERN",6,"12/2/2010 8:32",3.39,17850,"United Kingdom","Christmas Decorations"
536600,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 8:32",3.39,17850,"United Kingdom","Medication & Remedies"
536602,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 8:34",3.39,17850,"United Kingdom","Medication & Remedies"
536602,71053,"WHITE METAL LANTERN",6,"12/2/2010 8:34",3.39,17850,"United Kingdom","Christmas Decorations"
536605,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/2/2010 8:52",4.95,13715,"United Kingdom","Medication & Remedies"
536607,21481,"FAWN BLUE HOT WATER BOTTLE",6,"12/2/2010 9:29",2.95,17732,"United Kingdom","Medication & Remedies"
536607,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/2/2010 9:29",3.95,17732,"United Kingdom","Medication & Remedies"
536609,71053,"WHITE METAL LANTERN",6,"12/2/2010 9:41",3.39,17850,"United Kingdom","Christmas Decorations"
536609,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 9:41",3.39,17850,"United Kingdom","Medication & Remedies"
536611,84031A,"CHARLIE+LOLA RED HOT WATER BOTTLE ",3,"12/2/2010 9:43",4.65,15752,"United Kingdom","Medication & Remedies"
536611,84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",6,"12/2/2010 9:43",2.95,15752,"United Kingdom","Medication & Remedies"
536612,71053,"WHITE METAL LANTERN",6,"12/2/2010 9:44",3.39,17850,"United Kingdom","Christmas Decorations"
536612,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 9:44",3.39,17850,"United Kingdom","Medication & Remedies"
536615,22837,"HOT WATER BOTTLE BABUSHKA ",8,"12/2/2010 10:09",4.65,14047,"United Kingdom","Medication & Remedies"
536620,21883,"STARS GIFT TAPE ",24,"12/2/2010 10:27",0.65,14135,"United Kingdom",Gifts
536628,71053,"WHITE METAL LANTERN",6,"12/2/2010 10:54",3.39,17850,"United Kingdom","Christmas Decorations"
536628,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 10:54",3.39,17850,"United Kingdom","Medication & Remedies"
536630,71053,"WHITE METAL LANTERN",6,"12/2/2010 10:56",3.39,17850,"United Kingdom","Christmas Decorations"
536630,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/2/2010 10:56",3.39,17850,"United Kingdom","Medication & Remedies"
536632,21479,"WHITE SKULL HOT WATER BOTTLE ",4,"12/2/2010 11:02",3.75,14388,"United Kingdom","Medication & Remedies"
536632,21484,"CHICK GREY HOT WATER BOTTLE",4,"12/2/2010 11:02",3.45,14388,"United Kingdom","Medication & Remedies"
536632,21485,"RETROSPOT HEART HOT WATER BOTTLE",3,"12/2/2010 11:02",4.95,14388,"United Kingdom","Medication & Remedies"
536632,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/2/2010 11:02",4.95,14388,"United Kingdom","Medication & Remedies"
536632,22837,"HOT WATER BOTTLE BABUSHKA ",4,"12/2/2010 11:02",4.65,14388,"United Kingdom","Medication & Remedies"
536635,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",8,"12/2/2010 11:22",3.95,15955,"United Kingdom","Medication & Remedies"
536635,22112,"CHOCOLATE HOT WATER BOTTLE",12,"12/2/2010 11:22",4.95,15955,"United Kingdom","Medication & Remedies"
536638,22113,"GREY HEART HOT WATER BOTTLE",4,"12/2/2010 11:41",3.75,16244,"United Kingdom","Medication & Remedies"
536638,22111,"SCOTTIE DOG HOT WATER BOTTLE",3,"12/2/2010 11:41",4.95,16244,"United Kingdom","Medication & Remedies"
536638,84032B,"CHARLIE + LOLA RED HOT WATER BOTTLE",6,"12/2/2010 11:41",2.95,16244,"United Kingdom","Medication & Remedies"
536638,84031B,"CHARLIE LOLA BLUE HOT WATER BOTTLE ",3,"12/2/2010 11:41",4.65,16244,"United Kingdom","Medication & Remedies"
536638,84031A,"CHARLIE+LOLA RED HOT WATER BOTTLE ",3,"12/2/2010 11:41",4.65,16244,"United Kingdom","Medication & Remedies"
536639,22112,"CHOCOLATE HOT WATER BOTTLE",3,"12/2/2010 11:45",4.95,15111,"United Kingdom","Medication & Remedies"
536639,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",4,"12/2/2010 11:45",3.75,15111,"United Kingdom","Medication & Remedies"
536643,21479,"WHITE SKULL HOT WATER BOTTLE ",2,"12/2/2010 11:57",3.75,14390,"United Kingdom","Medication & Remedies"
